liga,family,period,direction,n,coverage,mean_pred_raw,mean_pred_cal,base_rate,gap_raw,gap_cal,brier_raw,brier_cal,delta_brier,delta_brier_rel
superliga-argentina,1x2,2T,away,235,1,0.169562,0.256245,0.225532,-0.055970,0.030713,0.175332,0.172327,0.003005,0.017139
superliga-argentina,1x2,2T,draw,235,1,0.398782,0.366821,0.438298,-0.039516,-0.071477,0.245742,0.249586,-0.003844,-0.015641
superliga-argentina,1x2,2T,home,235,1,0.431656,0.351822,0.336170,0.095486,0.015651,0.220633,0.211785,0.008847,0.040100
superliga-argentina,1x2,FT,away,235,1,0.188795,0.276322,0.276596,-0.087800,-0.000274,0.200742,0.191911,0.008831,0.043991
superliga-argentina,1x2,FT,draw,235,1,0.279002,0.286348,0.327660,-0.048658,-0.041312,0.219401,0.218303,0.001098,0.005005
superliga-argentina,1x2,FT,home,235,1,0.532202,0.424920,0.395745,0.136458,0.029175,0.245772,0.227462,0.018310,0.074499
superliga-argentina,1x2,HT,away,235,1,0.145031,0.219039,0.238298,-0.093267,-0.019259,0.188475,0.179385,0.009090,0.048227
superliga-argentina,1x2,HT,draw,235,1,0.506941,0.454767,0.472340,0.034601,-0.017574,0.258098,0.252572,0.005527,0.021413
superliga-argentina,1x2,HT,home,235,1,0.348028,0.309079,0.289362,0.058666,0.019718,0.215571,0.207647,0.007924,0.036757
superliga-argentina,asian_handicap,FT,away_minus_0_5,235,1,0.467798,0.575080,0.604255,-0.136458,-0.029175,0.245772,0.227462,0.018310,0.074499
superliga-argentina,asian_handicap,FT,away_minus_1,180,1,0.727586,0.768441,0.788889,-0.061303,-0.020448,0.162184,0.157195,0.004988,0.030758
superliga-argentina,asian_handicap,FT,away_minus_1_5,235,1,0.714666,0.813556,0.838298,-0.123632,-0.024742,0.155515,0.133657,0.021858,0.140553
superliga-argentina,asian_handicap,FT,away_plus_0_5,235,1,0.188795,0.276322,0.276596,-0.087800,-0.000274,0.200742,0.191911,0.008831,0.043991
superliga-argentina,asian_handicap,FT,away_plus_1,188,1,0.181979,0.135716,0.095745,0.086234,0.039971,0.093926,0.086464,0.007462,0.079446
superliga-argentina,asian_handicap,FT,away_plus_1_5,235,1,0.060838,0.103787,0.076596,-0.015757,0.027191,0.070022,0.070517,-0.000495,-0.007072
superliga-argentina,asian_handicap,FT,away_plus_2,223,1,0.059386,0.038653,0.026906,0.032481,0.011747,0.028869,0.026801,0.002068,0.071617
superliga-argentina,asian_handicap,FT,home_minus_0_5,235,1,0.532202,0.424920,0.395745,0.136458,0.029175,0.245772,0.227462,0.018310,0.074499
superliga-argentina,asian_handicap,FT,home_minus_1,180,1,0.272414,0.231559,0.211111,0.061303,0.020448,0.162184,0.157195,0.004988,0.030758
superliga-argentina,asian_handicap,FT,home_minus_1_5,235,1,0.285334,0.186444,0.161702,0.123632,0.024742,0.155515,0.133657,0.021858,0.140553
superliga-argentina,asian_handicap,FT,home_plus_0_5,235,1,0.811205,0.723390,0.723404,0.087800,-0.000014,0.200742,0.191960,0.008782,0.043750
superliga-argentina,asian_handicap,FT,home_plus_1,188,1,0.818021,0.864286,0.904255,-0.086234,-0.039969,0.093926,0.086464,0.007462,0.079446
