liga,family,period,direction,n,coverage,brier_raw,brier_cal,delta_brier,delta_brier_rel,log_loss_raw,log_loss_cal,delta_log_loss,gap_raw,gap_cal
brasileirao-b,handicap,FT,away_minus_2,310,1.0000,0.192008,0.148052,-0.043956,-0.228928,0.569215,0.471275,-0.097940,0.185727,0.055627
brasileirao-b,asian_handicap,FT,away_minus_1_5,310,1.0000,0.192008,0.148052,-0.043956,-0.228928,0.569215,0.471275,-0.097940,0.185727,0.055627
brasileirao-b,asian_handicap,FT,home_minus_1_5,310,1.0000,0.192008,0.148052,-0.043956,-0.228928,0.569215,0.471275,-0.097940,-0.185727,-0.055627
brasileirao-b,handicap,FT,home_minus_1,310,1.0000,0.192008,0.148052,-0.043956,-0.228928,0.569215,0.471275,-0.097940,-0.185727,-0.055627
brasileirao-b,marca,FT,away_nao,310,1.0000,0.272422,0.229570,-0.042852,-0.157301,0.784922,0.651397,-0.133525,-0.186832,-0.018409
brasileirao-b,marca,FT,away_sim,310,1.0000,0.272422,0.229570,-0.042852,-0.157301,0.784922,0.651397,-0.133525,0.186832,0.018409
primeira-liga,btts,FT,nao,205,1.0000,0.294469,0.257468,-0.037001,-0.125653,0.795127,0.708411,-0.086716,-0.108169,-0.000394
primeira-liga,btts,FT,sim,205,1.0000,0.294469,0.257468,-0.037001,-0.125653,0.795127,0.708411,-0.086716,0.108169,0.000394
liga-mx,handicap,FT,home_minus_2,235,1.0000,0.122643,0.087470,-0.035174,-0.286798,0.397878,0.312794,-0.085084,-0.142169,-0.024345
superliga-argentina,marca,FT,away_nao,581,1.0000,0.277810,0.243466,-0.034344,-0.123624,0.780509,0.682078,-0.098431,-0.140351,0.031406
superliga-argentina,marca,FT,away_sim,581,1.0000,0.277810,0.243466,-0.034344,-0.123624,0.780509,0.682078,-0.098431,0.140351,-0.031406
brasileirao-b,handicap,FT,away_minus_1,310,1.0000,0.279614,0.246217,-0.033398,-0.119442,0.770872,0.687061,-0.083812,0.172872,0.043966
brasileirao-b,dupla,FT,x2,310,1.0000,0.279614,0.246217,-0.033398,-0.119442,0.770872,0.687061,-0.083812,0.172872,0.043966
brasileirao-b,1x2,FT,home,310,1.0000,0.279614,0.246217,-0.033398,-0.119442,0.770872,0.687061,-0.083812,-0.172872,-0.043966
brasileirao-b,asian_handicap,FT,home_minus_0_5,310,1.0000,0.279614,0.246217,-0.033398,-0.119442,0.770872,0.687061,-0.083812,-0.172872,-0.043966
brasileirao-b,asian_handicap,FT,away_minus_0_5,310,1.0000,0.279614,0.246217,-0.033398,-0.119442,0.770872,0.687061,-0.083812,0.172872,0.043966
liga-mx,dupla,2T,x2,235,1.0000,0.255845,0.224550,-0.031295,-0.122321,0.708878,0.640376,-0.068502,0.162822,0.051726
liga-mx,1x2,2T,home,235,1.0000,0.255845,0.224550,-0.031295,-0.122321,0.708878,0.640376,-0.068502,-0.162822,-0.051726
brasileirao-b,btts,FT,nao,310,1.0000,0.279376,0.249170,-0.030206,-0.108118,0.765274,0.691483,-0.073791,-0.158118,-0.023310
brasileirao-b,btts,FT,sim,310,1.0000,0.279376,0.249170,-0.030206,-0.108118,0.765274,0.691483,-0.073791,0.158118,0.023310
brasileirao-b,handicap,FT,home_minus_2,310,1.0000,0.075149,0.046544,-0.028605,-0.380639,0.290170,0.207134,-0.083037,-0.134858,-0.050977
liga-mx,marca,FT,away_nao,235,1.0000,0.239755,0.212054,-0.027701,-0.115537,0.677234,0.617219,-0.060015,-0.115546,-0.010889
liga-mx,marca,FT,away_sim,235,1.0000,0.239755,0.212054,-0.027701,-0.115537,0.677234,0.617219,-0.060015,0.115546,0.010889
bundesliga,handicap,FT,away_minus_1,1353,1.0000,0.250147,0.222792,-0.027355,-0.109356,0.712916,0.636479,-0.076438,0.160688,0.038196
bundesliga,dupla,FT,x2,1353,1.0000,0.250147,0.222792,-0.027355,-0.109356,0.712916,0.636479,-0.076438,0.160688,0.038196
bundesliga,1x2,FT,home,1353,1.0000,0.250147,0.222792,-0.027355,-0.109356,0.712916,0.636479,-0.076438,-0.160688,-0.038196
bundesliga,asian_handicap,FT,home_minus_0_5,1353,1.0000,0.250147,0.222792,-0.027355,-0.109356,0.712916,0.636479,-0.076438,-0.160688,-0.038196
bundesliga,asian_handicap,FT,away_minus_0_5,1353,1.0000,0.250147,0.222792,-0.027355,-0.109356,0.712916,0.636479,-0.076438,0.160688,0.038196
superliga-argentina,handicap,FT,away_minus_2,581,1.0000,0.164917,0.138340,-0.026577,-0.161154,0.508373,0.446431,-0.061942,0.120936,0.022814
superliga-argentina,asian_handicap,FT,away_minus_1_5,581,1.0000,0.164917,0.138340,-0.026577,-0.161154,0.508373,0.446431,-0.061942,0.120936,0.022814
superliga-argentina,asian_handicap,FT,home_minus_1_5,581,1.0000,0.164917,0.138341,-0.026576,-0.161150,0.508373,0.446446,-0.061927,-0.120936,-0.022829
superliga-argentina,handicap,FT,home_minus_1,581,1.0000,0.164917,0.138341,-0.026576,-0.161150,0.508373,0.446446,-0.061927,-0.120936,-0.022829
brasileirao-b,dnb,FT,home,211,1.0000,0.260157,0.233827,-0.026330,-0.101208,0.842486,0.668347,-0.174138,-0.165036,-0.036721
brasileirao-b,dnb,FT,away,211,1.0000,0.260157,0.233827,-0.026330,-0.101208,0.842486,0.668347,-0.174138,0.165036,0.036721
liga-mx,dnb,2T,away,144,1.0000,0.253433,0.227163,-0.026270,-0.103656,0.725922,0.644427,-0.081495,0.148412,0.021145
liga-mx,dnb,2T,home,144,1.0000,0.253433,0.227182,-0.026251,-0.103582,0.725922,0.644508,-0.081414,-0.148412,-0.021075
serie-b-italia,handicap,FT,away_minus_2,277,1.0000,0.191283,0.165167,-0.026116,-0.136531,0.574973,0.509087,-0.065885,0.135641,0.005976
serie-b-italia,asian_handicap,FT,away_minus_1_5,277,1.0000,0.191283,0.165167,-0.026116,-0.136531,0.574973,0.509087,-0.065885,0.135641,0.005976
serie-b-italia,asian_handicap,FT,home_minus_1_5,277,1.0000,0.191283,0.165167,-0.026116,-0.136531,0.574973,0.509087,-0.065885,-0.135641,-0.005976
serie-b-italia,handicap,FT,home_minus_1,277,1.0000,0.191283,0.165167,-0.026116,-0.136531,0.574973,0.509087,-0.065885,-0.135641,-0.005976
la-liga-2,marca,FT,away_sim,312,1.0000,0.237505,0.211817,-0.025688,-0.108159,0.668585,0.615140,-0.053445,0.118888,0.015165
la-liga-2,marca,FT,away_nao,312,1.0000,0.237505,0.211817,-0.025688,-0.108159,0.668585,0.615140,-0.053445,-0.118888,-0.015165
superliga-argentina,dnb,2T,away,329,1.0000,0.263541,0.238083,-0.025458,-0.096599,0.750117,0.668643,-0.081473,0.140167,0.015383
superliga-argentina,dnb,2T,home,329,1.0000,0.263541,0.238086,-0.025455,-0.096589,0.750117,0.668653,-0.081464,-0.140167,-0.015376
brasileirao-b,dnb,2T,away,197,1.0000,0.276107,0.250699,-0.025408,-0.092024,0.871901,0.700639,-0.171262,0.138364,0.000067
superliga-argentina,handicap,FT,away_minus_1,581,1.0000,0.265306,0.240248,-0.025059,-0.094452,0.737775,0.676210,-0.061564,0.129007,0.024959
superliga-argentina,dupla,FT,x2,581,1.0000,0.265306,0.240248,-0.025059,-0.094452,0.737775,0.676210,-0.061564,0.129007,0.024959
superliga-argentina,1x2,FT,home,581,1.0000,0.265306,0.240248,-0.025059,-0.094452,0.737775,0.676210,-0.061564,-0.129007,-0.024959
superliga-argentina,asian_handicap,FT,away_minus_0_5,581,1.0000,0.265306,0.240248,-0.025059,-0.094452,0.737775,0.676210,-0.061564,0.129007,0.024959
superliga-argentina,asian_handicap,FT,home_minus_0_5,581,1.0000,0.265306,0.240248,-0.025059,-0.094452,0.737775,0.676210,-0.061564,-0.129007,-0.024959
primeira-liga,asian_handicap,FT,away_plus_1,165,1.0000,0.124944,0.100449,-0.024495,-0.196047,0.394985,0.333238,-0.061747,-0.140541,-0.083386
primeira-liga,asian_handicap,FT,home_plus_1,165,1.0000,0.124944,0.100452,-0.024492,-0.196023,0.394985,0.333468,-0.061517,0.140541,0.083615
bundesliga,dnb,FT,away,1013,1.0000,0.229896,0.205589,-0.024307,-0.105731,0.684561,0.596892,-0.087669,0.151216,0.033845
bundesliga,dnb,FT,home,1013,1.0000,0.229896,0.205589,-0.024307,-0.105731,0.684561,0.596892,-0.087669,-0.151216,-0.033845
brasileirao-b,dnb,2T,home,197,1.0000,0.276107,0.251823,-0.024284,-0.087952,0.871901,0.830035,-0.041867,-0.138364,-0.000664
la-liga,asian_handicap,FT,home_minus_1_5,1710,1.0000,0.172374,0.148351,-0.024023,-0.139366,0.519686,0.464197,-0.055488,-0.138191,-0.016799
la-liga,handicap,FT,home_minus_1,1710,1.0000,0.172374,0.148351,-0.024023,-0.139366,0.519686,0.464197,-0.055488,-0.138191,-0.016799
la-liga,handicap,FT,away_minus_2,1710,1.0000,0.172374,0.148351,-0.024023,-0.139365,0.519686,0.464199,-0.055487,0.138191,0.016800
la-liga,asian_handicap,FT,away_minus_1_5,1710,1.0000,0.172374,0.148351,-0.024023,-0.139365,0.519686,0.464199,-0.055487,0.138191,0.016800
bundesliga,asian_handicap,FT,home_minus_1_5,1353,1.0000,0.200183,0.176165,-0.024019,-0.119983,0.596488,0.531366,-0.065122,-0.136458,0.006457
bundesliga,handicap,FT,home_minus_1,1353,1.0000,0.200183,0.176165,-0.024019,-0.119983,0.596488,0.531366,-0.065122,-0.136458,0.006457
bundesliga,handicap,FT,away_minus_2,1353,1.0000,0.200183,0.176233,-0.023950,-0.119639,0.596488,0.549540,-0.046948,0.136458,-0.006490
bundesliga,asian_handicap,FT,away_minus_1_5,1353,1.0000,0.200183,0.176233,-0.023950,-0.119639,0.596488,0.549540,-0.046948,0.136458,-0.006490
brasileirao-b,dnb,HT,home,145,1.0000,0.248085,0.224213,-0.023872,-0.096224,0.705735,0.639093,-0.066642,-0.169450,-0.056798
brasileirao-b,dnb,HT,away,145,1.0000,0.248085,0.224213,-0.023872,-0.096224,0.705735,0.639093,-0.066642,0.169450,0.056798
primeira-liga,btts_algum_tempo,FULL,sim,205,1.0000,0.266995,0.243543,-0.023453,-0.087839,0.741037,0.680340,-0.060697,0.065970,0.004736
primeira-liga,btts_algum_tempo,FULL,nao,205,1.0000,0.266995,0.243543,-0.023453,-0.087839,0.741037,0.680340,-0.060697,-0.065970,-0.004736
brasileirao-b,htft,FULL,1_1,310,1.0000,0.190198,0.166816,-0.023382,-0.122935,0.565987,0.514100,-0.051887,-0.156468,-0.071053
superliga-argentina,btts,FT,sim,581,1.0000,0.274436,0.251606,-0.022829,-0.083187,0.786707,0.698326,-0.088382,0.098755,-0.056526
superliga-argentina,btts,FT,nao,581,1.0000,0.274436,0.251606,-0.022829,-0.083187,0.786707,0.698326,-0.088382,-0.098755,0.056526
championship,marca,FT,away_nao,435,1.0000,0.225064,0.202248,-0.022816,-0.101374,0.640489,0.592700,-0.047789,-0.109426,-0.017055
championship,marca,FT,away_sim,435,1.0000,0.225064,0.202248,-0.022816,-0.101374,0.640489,0.592700,-0.047789,0.109426,0.017055
brasileirao-b,asian_handicap,FT,home_minus_2,270,1.0000,0.077891,0.055099,-0.022792,-0.292616,0.296722,0.233236,-0.063487,-0.123741,-0.058880
brasileirao-b,asian_handicap,FT,away_minus_2,270,1.0000,0.077891,0.055099,-0.022792,-0.292616,0.296722,0.233236,-0.063487,0.123741,0.058880
