liga,family,n_green,n_red,n_push,n_void,n_total
brasileirao,1x2,5535,11070,0,0,16605
brasileirao,asian_handicap,13619,13619,2282,0,29520
brasileirao,asian_total,12411,12411,0,0,33210
brasileirao,btts,3690,3690,0,0,7380
brasileirao,btts_algum_tempo,1845,1845,0,0,3690
brasileirao,btts_ambos_tempos,1845,1845,0,0,3690
brasileirao,cartoes,42435,42435,0,0,84870
brasileirao,cartoes_1x2,1845,3690,0,0,5535
brasileirao,chutes,81180,81180,0,0,162360
brasileirao,chutes_alvo,47970,47970,0,0,95940
brasileirao,correct_score,3690,66420,0,0,70110
brasileirao,dnb,3540,3540,3990,0,11070
brasileirao,dupla,11070,5535,0,0,16605
brasileirao,escanteios,64575,64575,0,0,129150
brasileirao,escanteios_1x2,3690,7380,0,0,11070
brasileirao,escanteios_asian,0,0,0,22140,22140
brasileirao,escanteios_exato,1845,27675,0,0,29520
brasileirao,escanteios_race,0,0,0,16605,16605
brasileirao,faltas,25830,25830,0,0,51660
brasileirao,gols,51660,51660,0,0,103320
brasileirao,handicap,7380,14760,0,0,22140
brasileirao,htft,1845,14760,0,0,16605
brasileirao,impedimentos,18450,18450,0,0,36900
brasileirao,marca,3690,3690,0,0,7380
brasileirao,marca_primeiro,0,0,0,5535,5535
brasileirao,marca_ultimo,0,0,0,5535,5535
brasileirao,margem,1845,14760,0,0,16605
brasileirao-b,1x2,930,1860,0,0,2790
brasileirao-b,asian_handicap,2288,2288,384,0,4960
brasileirao-b,asian_total,2088,2088,0,0,5580
brasileirao-b,btts,620,620,0,0,1240
brasileirao-b,btts_algum_tempo,310,310,0,0,620
brasileirao-b,btts_ambos_tempos,310,310,0,0,620
brasileirao-b,cartoes,7130,7130,0,0,14260
brasileirao-b,cartoes_1x2,310,620,0,0,930
brasileirao-b,chutes,13640,13640,0,0,27280
brasileirao-b,chutes_alvo,8060,8060,0,0,16120
brasileirao-b,correct_score,620,11160,0,0,11780
brasileirao-b,dnb,553,553,754,0,1860
brasileirao-b,dupla,1860,930,0,0,2790
brasileirao-b,escanteios,10850,10850,0,0,21700
brasileirao-b,escanteios_1x2,620,1240,0,0,1860
brasileirao-b,escanteios_asian,0,0,0,3720,3720
brasileirao-b,escanteios_exato,310,4650,0,0,4960
brasileirao-b,escanteios_race,0,0,0,2790,2790
brasileirao-b,faltas,4340,4340,0,0,8680
brasileirao-b,gols,8680,8680,0,0,17360
brasileirao-b,handicap,1240,2480,0,0,3720
brasileirao-b,htft,310,2480,0,0,2790
brasileirao-b,impedimentos,3100,3100,0,0,6200
brasileirao-b,marca,620,620,0,0,1240
brasileirao-b,marca_primeiro,0,0,0,930,930
brasileirao-b,marca_ultimo,0,0,0,930,930
brasileirao-b,margem,310,2480,0,0,2790
bundesliga,1x2,4059,8118,0,0,12177
