scope,liga,family,period,direction,n,mean_pred,base_rate,brier_raw,breakpoints,status
global,*,1x2,2T,away,9447,0.197015,0.279242,0.200736,31,fit
global,*,1x2,2T,draw,9447,0.336219,0.344871,0.227482,25,fit
global,*,1x2,2T,home,9447,0.466766,0.375887,0.236154,33,fit
global,*,1x2,FT,away,9447,0.213177,0.297237,0.199408,27,fit
global,*,1x2,FT,draw,9447,0.231012,0.257965,0.191993,28,fit
global,*,1x2,FT,home,9447,0.555811,0.444797,0.240695,48,fit
global,*,1x2,HT,away,9447,0.174126,0.245581,0.182685,28,fit
global,*,1x2,HT,draw,9447,0.437214,0.415476,0.243669,35,fit
global,*,1x2,HT,home,9447,0.388660,0.338944,0.219152,29,fit
global,*,asian_handicap,FT,away_minus_0_5,9447,0.444189,0.555203,0.240695,48,fit
global,*,asian_handicap,FT,away_minus_1,7325,0.666807,0.716041,0.182130,43,fit
global,*,asian_handicap,FT,away_minus_1_5,9447,0.659652,0.779824,0.178854,41,fit
global,*,asian_handicap,FT,away_minus_2,8262,0.827628,0.891673,0.097702,57,fit
global,*,asian_handicap,FT,away_plus_0_5,9447,0.213177,0.297237,0.199408,27,fit
global,*,asian_handicap,FT,away_plus_1,7873,0.205769,0.156738,0.122191,40,fit
global,*,asian_handicap,FT,away_plus_1_5,9447,0.087560,0.130623,0.107420,36,fit
global,*,asian_handicap,FT,away_plus_2,8694,0.083339,0.055326,0.050834,26,fit
global,*,asian_handicap,FT,home_minus_0_5,9447,0.555811,0.444797,0.240695,48,fit
global,*,asian_handicap,FT,home_minus_1,7325,0.333193,0.283959,0.182130,43,fit
global,*,asian_handicap,FT,home_minus_1_5,9447,0.340348,0.220176,0.178854,40,fit
global,*,asian_handicap,FT,home_minus_2,8262,0.172372,0.108327,0.097702,57,fit
global,*,asian_handicap,FT,home_plus_0_5,9447,0.786823,0.702763,0.199408,25,fit
global,*,asian_handicap,FT,home_plus_1,7873,0.794231,0.843262,0.122191,38,fit
global,*,asian_handicap,FT,home_plus_1_5,9447,0.912440,0.869377,0.107420,35,fit
global,*,asian_handicap,FT,home_plus_2,8694,0.916661,0.944674,0.050834,25,fit
global,*,asian_total,FT,over,44782,0.515781,0.518065,0.202103,90,fit
global,*,asian_total,FT,under,44782,0.484219,0.481935,0.202103,90,fit
global,*,asian_total,HT,over,19445,0.412568,0.390280,0.229331,58,fit
global,*,asian_total,HT,under,19445,0.587432,0.609720,0.229331,58,fit
global,*,btts_algum_tempo,FULL,nao,9447,0.631576,0.602308,0.243987,23,fit
global,*,btts_algum_tempo,FULL,sim,9447,0.368424,0.397692,0.243987,20,fit
global,*,btts_ambos_tempos,FULL,nao,9447,0.956271,0.948555,0.049086,21,fit
global,*,btts_ambos_tempos,FULL,sim,9447,0.043729,0.051445,0.049086,16,fit
global,*,btts,FT,nao,9447,0.539543,0.474436,0.258942,22,fit
global,*,btts,FT,sim,9447,0.460457,0.525564,0.258942,22,fit
global,*,btts,HT,nao,9447,0.849556,0.801418,0.161627,25,fit
global,*,btts,HT,sim,9447,0.150444,0.198582,0.161627,20,fit
global,*,cartoes_1x2,FT,away,9447,0.446658,0.449243,0.248578,41,fit
global,*,cartoes_1x2,FT,draw,9447,0.196149,0.215095,0.168750,27,fit
global,*,cartoes_1x2,FT,home,9447,0.357193,0.335662,0.223261,41,fit
global,*,cartoes,FT,over,141705,0.482715,0.530461,0.174595,291,fit
global,*,cartoes,FT,under,141705,0.517285,0.469539,0.174595,295,fit
global,*,cartoes,HT,over,75576,0.308969,0.388536,0.194156,193,fit
global,*,cartoes,HT,under,75576,0.691031,0.611464,0.194156,190,fit
global,*,chutes_alvo,FT,over,160599,0.612219,0.603136,0.188646,99,fit
global,*,chutes_alvo,FT,under,160599,0.387781,0.396864,0.188646,100,fit
global,*,chutes_alvo,HT,over,85023,0.507338,0.565423,0.210690,64,fit
global,*,chutes_alvo,HT,under,85023,0.492662,0.434577,0.210690,67,fit
global,*,chutes,FT,over,292857,0.624251,0.615601,0.160207,2326,fit
global,*,chutes,FT,under,292857,0.375749,0.384399,0.160207,2322,fit
global,*,chutes,HT,over,122811,0.822157,0.780223,0.140912,328,fit
global,*,chutes,HT,under,122811,0.177843,0.219777,0.140912,324,fit
