liga,family,period,direction,n,base_rate,mean_pred,brier,log_loss,accuracy
brasileirao,1x2,2T,away,1845,0.252033,0.168121,0.194197,0.588928,0.745257
brasileirao,1x2,2T,draw,1845,0.370732,0.357844,0.235181,0.664049,0.627642
brasileirao,1x2,2T,home,1845,0.377236,0.474035,0.242404,0.679273,0.584824
brasileirao,1x2,FT,away,1845,0.254743,0.178395,0.191887,0.583687,0.740921
brasileirao,1x2,FT,draw,1845,0.267751,0.246708,0.195920,0.581484,0.729539
brasileirao,1x2,FT,home,1845,0.477507,0.574897,0.247849,0.692994,0.565854
brasileirao,1x2,HT,away,1845,0.197290,0.149051,0.159583,0.504170,0.802710
brasileirao,1x2,HT,draw,1845,0.442818,0.462245,0.247897,0.689269,0.555014
brasileirao,1x2,HT,home,1845,0.359892,0.388705,0.227595,0.646918,0.630894
brasileirao,asian_handicap,FT,away_minus_0_5,1845,0.522493,0.425103,0.247849,0.692994,0.565854
brasileirao,asian_handicap,FT,away_minus_1,1365,0.706227,0.668347,0.196138,0.578832,0.709158
brasileirao,asian_handicap,FT,away_minus_1_5,1845,0.782656,0.661893,0.183587,0.550323,0.746883
brasileirao,asian_handicap,FT,away_minus_2,1603,0.900811,0.838422,0.094796,0.330894,0.893949
brasileirao,asian_handicap,FT,away_plus_0_5,1845,0.254743,0.178395,0.191887,0.583687,0.740921
brasileirao,asian_handicap,FT,away_plus_1,1538,0.105982,0.174072,0.100287,0.348372,0.886866
brasileirao,asian_handicap,FT,away_plus_1_5,1845,0.088347,0.060356,0.080712,0.303764,0.910569
brasileirao,asian_handicap,FT,away_plus_2,1733,0.029429,0.059303,0.030557,0.139760,0.969417
brasileirao,asian_handicap,FT,home_minus_0_5,1845,0.477507,0.574897,0.247849,0.692994,0.565854
brasileirao,asian_handicap,FT,home_minus_1,1365,0.293773,0.331653,0.196138,0.578832,0.709158
brasileirao,asian_handicap,FT,home_minus_1_5,1845,0.217344,0.338107,0.183587,0.550323,0.746883
brasileirao,asian_handicap,FT,home_minus_2,1603,0.099189,0.161578,0.094796,0.330894,0.893949
brasileirao,asian_handicap,FT,home_plus_0_5,1845,0.745257,0.821605,0.191887,0.583687,0.740921
brasileirao,asian_handicap,FT,home_plus_1,1538,0.894018,0.825928,0.100287,0.348372,0.886866
brasileirao,asian_handicap,FT,home_plus_1_5,1845,0.911653,0.939644,0.080712,0.303764,0.910569
brasileirao,asian_handicap,FT,home_plus_2,1733,0.970571,0.940697,0.030557,0.139760,0.969417
brasileirao,asian_total,FT,over,8628,0.449119,0.458436,0.199243,0.587273,0.709087
brasileirao,asian_total,FT,under,8628,0.550881,0.541564,0.199243,0.587273,0.709087
brasileirao,asian_total,HT,over,3783,0.335977,0.372958,0.221225,0.634699,0.657943
brasileirao,asian_total,HT,under,3783,0.664023,0.627042,0.221225,0.634699,0.657943
brasileirao,btts,FT,nao,1845,0.514905,0.579915,0.260997,0.718096,0.511111
brasileirao,btts,FT,sim,1845,0.485095,0.420085,0.260997,0.718096,0.511111
brasileirao,btts,HT,nao,1845,0.818428,0.870351,0.151684,0.488886,0.818428
brasileirao,btts,HT,sim,1845,0.181572,0.129649,0.151684,0.488886,0.818428
brasileirao,btts_algum_tempo,FULL,nao,1845,0.627642,0.672058,0.240495,0.678650,0.621138
brasileirao,btts_algum_tempo,FULL,sim,1845,0.372358,0.327942,0.240495,0.678650,0.621138
brasileirao,btts_ambos_tempos,FULL,nao,1845,0.963686,0.967614,0.035199,0.158990,0.963686
