liga,family,period,direction,n,base_rate,mean_pred,brier,log_loss,accuracy
brasileirao,1x2,FT,away,1855,0.254447,0.248222,0.184243,0.554831,0.745013
brasileirao,1x2,FT,draw,1855,0.267925,0.256768,0.194840,0.578127,0.732075
brasileirao,1x2,FT,home,1855,0.477628,0.475800,0.236211,0.665630,0.610243
brasileirao,1x2,HT,away,1855,0.196765,0.201643,0.156588,0.491586,0.803235
brasileirao,1x2,HT,draw,1855,0.442588,0.445187,0.245735,0.698515,0.563881
brasileirao,1x2,HT,home,1855,0.360647,0.358656,0.225437,0.642408,0.639892
brasileirao,btts,FT,nao,1855,0.513208,0.521558,0.250068,0.693491,0.515903
brasileirao,btts,FT,sim,1855,0.486792,0.478442,0.250068,0.693491,0.515903
brasileirao,btts,HT,nao,1855,0.817251,0.827469,0.149154,0.475364,0.817251
brasileirao,btts,HT,sim,1855,0.182749,0.172531,0.149154,0.475364,0.817251
brasileirao,cartoes,FT,over,27825,0.608985,0.611722,0.173299,0.517650,0.738580
brasileirao,cartoes,FT,under,27825,0.391015,0.388322,0.173312,0.517675,0.738724
brasileirao,cartoes,HT,over,14840,0.454043,0.455684,0.201201,0.589840,0.702156
brasileirao,cartoes,HT,under,14840,0.545957,0.544734,0.201188,0.589818,0.702089
brasileirao,cartoes_1x2,FT,away,1855,0.461456,0.457196,0.248650,0.693498,0.546631
brasileirao,cartoes_1x2,FT,draw,1855,0.196226,0.200101,0.157634,0.494936,0.804313
brasileirao,cartoes_1x2,FT,home,1855,0.342318,0.344377,0.223557,0.641063,0.657143
brasileirao,chutes,FT,over,42665,0.546818,0.548789,0.198679,0.579824,0.689113
brasileirao,chutes,FT,under,42665,0.453182,0.451233,0.198670,0.579784,0.689113
brasileirao,chutes,HT,over,24115,0.632304,0.636624,0.202915,0.591677,0.684346
brasileirao,chutes,HT,under,24115,0.367696,0.363286,0.202935,0.591721,0.684346
brasileirao,chutes_1x2,FT,away,1855,0.312668,0.302971,0.205771,0.600167,0.693801
brasileirao,chutes_1x2,FT,draw,1855,0.032884,0.090904,0.041621,0.191823,0.966577
brasileirao,chutes_1x2,FT,home,1855,0.654447,0.665101,0.217080,0.624539,0.659838
brasileirao,chutes_1x2,HT,away,1855,0.298113,0.300566,0.200896,0.590118,0.702965
brasileirao,chutes_1x2,HT,draw,1855,0.078167,0.076769,0.072107,0.276156,0.921833
brasileirao,chutes_1x2,HT,home,1855,0.623720,0.625530,0.224690,0.641246,0.642588
brasileirao,chutes_alvo,FT,over,31535,0.441509,0.443285,0.197541,0.586307,0.703536
brasileirao,chutes_alvo,FT,under,31535,0.558491,0.556937,0.197466,0.580479,0.703536
brasileirao,chutes_alvo,HT,over,22260,0.474483,0.475927,0.189854,0.568871,0.719048
brasileirao,chutes_alvo,HT,under,22260,0.525517,0.523756,0.189825,0.563273,0.719048
brasileirao,chutes_alvo_1x2,FT,away,1855,0.307817,0.351396,0.218033,0.628284,0.692183
brasileirao,chutes_alvo_1x2,FT,draw,1855,0.112668,0.108726,0.100171,0.367100,0.887332
brasileirao,chutes_alvo_1x2,FT,home,1855,0.579515,0.580078,0.247864,0.734192,0.571429
brasileirao,chutes_alvo_1x2,HT,away,1855,0.300809,0.302159,0.210464,0.611943,0.699191
brasileirao,chutes_alvo_1x2,HT,draw,1855,0.191375,0.203458,0.166545,0.583432,0.789757
brasileirao,chutes_alvo_1x2,HT,home,1855,0.507817,0.516798,0.255496,0.817417,0.520216
brasileirao,dupla,FT,12,1855,0.732075,0.743232,0.194840,0.578127,0.732075
brasileirao,dupla,FT,1x,1855,0.745553,0.751778,0.184243,0.554831,0.745553
brasileirao,dupla,FT,x2,1855,0.522372,0.524200,0.236211,0.665630,0.610243
brasileirao,dupla,HT,12,1855,0.557412,0.554813,0.245735,0.698515,0.563881
brasileirao,dupla,HT,1x,1855,0.803235,0.798357,0.156588,0.491586,0.803235
brasileirao,dupla,HT,x2,1855,0.639353,0.641344,0.225437,0.642408,0.639892
brasileirao,escanteios,FT,over,37100,0.465391,0.469178,0.197506,0.580587,0.702426
brasileirao,escanteios,FT,under,37100,0.534609,0.530729,0.197509,0.580600,0.702318
brasileirao,escanteios,HT,over,27825,0.491393,0.495795,0.180991,0.542338,0.733369
brasileirao,escanteios,HT,under,27825,0.508607,0.504658,0.180987,0.541460,0.733405
brasileirao,escanteios_1x2,FT,away,1855,0.344474,0.342509,0.221385,0.637258,0.655526
brasileirao,escanteios_1x2,FT,draw,1855,0.081941,0.079016,0.075372,0.288401,0.918059
brasileirao,escanteios_1x2,FT,home,1855,0.573585,0.576906,0.240250,0.674734,0.578976
brasileirao,escanteios_1x2,HT,away,1855,0.314825,0.315009,0.210464,0.609762,0.687332
brasileirao,escanteios_1x2,HT,draw,1855,0.140162,0.138554,0.120597,0.406754,0.859838
brasileirao,escanteios_1x2,HT,home,1855,0.545013,0.543514,0.241865,0.676607,0.550404
brasileirao,escanteios_handicap,FT,away_minus_1_5,1855,0.268464,0.268923,0.192059,0.569730,0.730458
brasileirao,escanteios_handicap,FT,away_minus_2_5,1855,0.201078,0.198367,0.157855,0.491913,0.797844
brasileirao,escanteios_handicap,FT,away_minus_3_5,1855,0.147709,0.143700,0.124407,0.413099,0.851752
brasileirao,escanteios_handicap,FT,away_minus_4_5,1855,0.097035,0.092794,0.087023,0.316331,0.902965
brasileirao,escanteios_handicap,FT,away_plus_1_5,1855,0.523450,0.516084,0.244376,0.682577,0.572507
brasileirao,escanteios_handicap,FT,away_plus_2_5,1855,0.606469,0.606443,0.232974,0.658391,0.618329
brasileirao,escanteios_handicap,FT,away_plus_3_5,1855,0.684636,0.681607,0.211735,0.617627,0.686253
brasileirao,escanteios_handicap,FT,away_plus_4_5,1855,0.767655,0.763894,0.174824,0.533778,0.767655
brasileirao,escanteios_handicap,FT,home_minus_1_5,1855,0.476550,0.472782,0.243466,0.679976,0.574663
brasileirao,escanteios_handicap,FT,home_minus_2_5,1855,0.393531,0.390285,0.232588,0.658807,0.624259
brasileirao,escanteios_handicap,FT,home_minus_3_5,1855,0.315364,0.317445,0.211090,0.612253,0.684636
brasileirao,escanteios_handicap,FT,home_minus_4_5,1855,0.232345,0.229490,0.174194,0.531287,0.767655
brasileirao,escanteios_handicap,FT,home_plus_1_5,1855,0.731536,0.735052,0.192031,0.569467,0.730458
brasileirao,escanteios_handicap,FT,home_plus_2_5,1855,0.798922,0.800338,0.156860,0.489267,0.798922
brasileirao,escanteios_handicap,FT,home_plus_3_5,1855,0.852291,0.856791,0.123975,0.410532,0.852291
brasileirao,escanteios_handicap,FT,home_plus_4_5,1855,0.902965,0.905913,0.086759,0.314692,0.902965
brasileirao,escanteios_handicap,HT,away_minus_1_5,1855,0.201078,0.201946,0.158591,0.495059,0.798383
brasileirao,escanteios_handicap,HT,away_minus_2_5,1855,0.105121,0.102650,0.092876,0.331396,0.894340
brasileirao,escanteios_handicap,HT,away_plus_1_5,1855,0.622102,0.624726,0.231414,0.655293,0.620485
brasileirao,escanteios_handicap,HT,away_plus_2_5,1855,0.748787,0.749315,0.186065,0.558493,0.748787
brasileirao,escanteios_handicap,HT,home_minus_1_5,1855,0.377898,0.378664,0.232129,0.658477,0.628032
brasileirao,escanteios_handicap,HT,home_minus_2_5,1855,0.251213,0.253693,0.186738,0.560692,0.748787
brasileirao,escanteios_handicap,HT,home_plus_1_5,1855,0.798922,0.798925,0.158897,0.497000,0.798922
brasileirao,escanteios_handicap,HT,home_plus_2_5,1855,0.894879,0.902121,0.093080,0.330086,0.894879
brasileirao,escanteios_oddeven,FT,impar,1855,0.505121,0.520189,0.251301,0.697915,0.504582
brasileirao,escanteios_oddeven,FT,par,1855,0.494879,0.484326,0.250654,0.695496,0.503504
brasileirao,escanteios_oddeven,HT,impar,1855,0.492722,0.492980,0.249684,0.692531,0.530458
