liga,family,period,prob_bin,bin_lo,bin_hi,n,mean_pred,observed_freq,gap
brasileirao,1x2,2T,0,0.00,0.10,309,0.077157,0.194175,0.117018
brasileirao,1x2,2T,1,0.10,0.20,1107,0.146601,0.243902,0.097301
brasileirao,1x2,2T,2,0.20,0.30,851,0.252974,0.300823,0.047848
brasileirao,1x2,2T,3,0.30,0.40,1465,0.352616,0.369283,0.016668
brasileirao,1x2,2T,4,0.40,0.50,941,0.443438,0.346440,-0.096998
brasileirao,1x2,2T,5,0.50,0.60,547,0.547773,0.433272,-0.114501
brasileirao,1x2,2T,6,0.60,0.70,242,0.642255,0.475207,-0.167048
brasileirao,1x2,2T,7,0.70,0.80,63,0.736092,0.587302,-0.148790
brasileirao,1x2,2T,8,0.80,0.90,10,0.830146,0.300000,-0.530146
brasileirao,1x2,FT,0,0.00,0.10,444,0.070947,0.166667,0.095720
brasileirao,1x2,FT,1,0.10,0.20,1258,0.151616,0.225755,0.074139
brasileirao,1x2,FT,2,0.20,0.30,1507,0.249853,0.280690,0.030837
brasileirao,1x2,FT,3,0.30,0.40,631,0.339548,0.340729,0.001181
brasileirao,1x2,FT,4,0.40,0.50,398,0.452017,0.419598,-0.032419
brasileirao,1x2,FT,5,0.50,0.60,419,0.552891,0.410501,-0.142390
brasileirao,1x2,FT,6,0.60,0.70,456,0.648231,0.546053,-0.102179
brasileirao,1x2,FT,7,0.70,0.80,303,0.740273,0.607261,-0.133012
brasileirao,1x2,FT,8,0.80,0.90,107,0.835757,0.654206,-0.181551
brasileirao,1x2,FT,9,0.90,1.00,12,0.924758,0.583333,-0.341424
brasileirao,1x2,HT,0,0.00,0.10,357,0.080639,0.134454,0.053815
brasileirao,1x2,HT,1,0.10,0.20,1250,0.142323,0.199200,0.056877
brasileirao,1x2,HT,2,0.20,0.30,611,0.249674,0.270049,0.020375
brasileirao,1x2,HT,3,0.30,0.40,954,0.355765,0.362683,0.006918
brasileirao,1x2,HT,4,0.40,0.50,1576,0.450891,0.414975,-0.035917
brasileirao,1x2,HT,5,0.50,0.60,665,0.535659,0.488722,-0.046937
brasileirao,1x2,HT,6,0.60,0.70,102,0.635768,0.460784,-0.174983
brasileirao,1x2,HT,7,0.70,0.80,20,0.734532,0.550000,-0.184532
brasileirao,asian_handicap,FT,0,0.00,0.10,4498,0.049464,0.065807,0.016343
brasileirao,asian_handicap,FT,1,0.10,0.20,3201,0.145506,0.149641,0.004135
brasileirao,asian_handicap,FT,2,0.20,0.30,2267,0.248687,0.222320,-0.026367
brasileirao,asian_handicap,FT,3,0.30,0.40,1902,0.349975,0.337014,-0.012961
brasileirao,asian_handicap,FT,4,0.40,0.50,1751,0.450297,0.448315,-0.001981
brasileirao,asian_handicap,FT,5,0.50,0.60,1751,0.549703,0.551685,0.001981
brasileirao,asian_handicap,FT,6,0.60,0.70,1902,0.650025,0.662986,0.012961
brasileirao,asian_handicap,FT,7,0.70,0.80,2267,0.751313,0.777680,0.026367
brasileirao,asian_handicap,FT,8,0.80,0.90,3201,0.854494,0.850359,-0.004135
brasileirao,asian_handicap,FT,9,0.90,1.00,4498,0.950536,0.934193,-0.016343
brasileirao,asian_total,FT,0,0.00,0.10,325,0.065529,0.135385,0.069855
brasileirao,asian_total,FT,1,0.10,0.20,1513,0.158823,0.185724,0.026901
