liga,family,period,prob_bin,bin_lo,bin_hi,n,mean_pred,observed_freq,gap
brasileirao,1x2,FT,0,0.00,0.10,66,0.062724,0.181818,0.119094
brasileirao,1x2,FT,1,0.10,0.20,801,0.168359,0.171036,0.002677
brasileirao,1x2,FT,2,0.20,0.30,2063,0.249041,0.266602,0.017562
brasileirao,1x2,FT,3,0.30,0.40,1107,0.338144,0.332430,-0.005714
brasileirao,1x2,FT,4,0.40,0.50,736,0.427303,0.422554,-0.004749
brasileirao,1x2,FT,5,0.50,0.60,429,0.563371,0.589744,0.026372
brasileirao,1x2,FT,6,0.60,0.70,291,0.629579,0.608247,-0.021332
brasileirao,1x2,FT,7,0.70,0.80,61,0.721086,0.672131,-0.048955
brasileirao,1x2,FT,8,0.80,0.90,11,0.808865,0.545455,-0.263410
brasileirao,1x2,HT,0,0.00,0.10,31,0.046962,0.161290,0.114328
brasileirao,1x2,HT,1,0.10,0.20,1064,0.168253,0.180451,0.012198
brasileirao,1x2,HT,2,0.20,0.30,951,0.232291,0.214511,-0.017780
brasileirao,1x2,HT,3,0.30,0.40,1236,0.356986,0.355987,-0.000999
brasileirao,1x2,HT,4,0.40,0.50,1948,0.434042,0.431211,-0.002831
brasileirao,1x2,HT,5,0.50,0.60,314,0.518848,0.519108,0.000260
brasileirao,1x2,HT,6,0.60,0.70,15,0.627397,0.466667,-0.160731
brasileirao,1x2,HT,7,0.70,0.80,3,0.771100,0.666667,-0.104434
brasileirao,1x2,HT,8,0.80,0.90,3,0.800000,0.666667,-0.133333
brasileirao,btts,FT,0,0.00,0.10,2,0.000000,0.000000,0.000000
brasileirao,btts,FT,1,0.10,0.20,4,0.144076,0.750000,0.605924
brasileirao,btts,FT,2,0.20,0.30,12,0.251432,0.250000,-0.001432
brasileirao,btts,FT,3,0.30,0.40,26,0.353135,0.384615,0.031480
brasileirao,btts,FT,4,0.40,0.50,1811,0.476080,0.487024,0.010944
brasileirao,btts,FT,5,0.50,0.60,1811,0.523920,0.512976,-0.010944
brasileirao,btts,FT,6,0.60,0.70,26,0.646865,0.615385,-0.031480
brasileirao,btts,FT,7,0.70,0.80,12,0.748568,0.750000,0.001432
brasileirao,btts,FT,8,0.80,0.90,4,0.855924,0.250000,-0.605924
brasileirao,btts,FT,9,0.90,1.00,2,1.000000,1.000000,0.000000
brasileirao,btts,HT,0,0.00,0.10,31,0.053799,0.064516,0.010717
brasileirao,btts,HT,1,0.10,0.20,1676,0.169402,0.186754,0.017352
brasileirao,btts,HT,2,0.20,0.30,146,0.211985,0.157534,-0.054451
brasileirao,btts,HT,3,0.30,0.40,1,0.317783,0.000000,-0.317783
brasileirao,btts,HT,4,0.40,0.50,1,0.421255,1.000000,0.578745
brasileirao,btts,HT,5,0.50,0.60,1,0.578745,0.000000,-0.578745
brasileirao,btts,HT,6,0.60,0.70,1,0.682217,1.000000,0.317783
brasileirao,btts,HT,7,0.70,0.80,146,0.788015,0.842466,0.054451
brasileirao,btts,HT,8,0.80,0.90,1676,0.830598,0.813246,-0.017352
brasileirao,btts,HT,9,0.90,1.00,31,0.946201,0.935484,-0.010717
brasileirao,cartoes,FT,0,0.00,0.10,6266,0.056990,0.060006,0.003017
brasileirao,cartoes,FT,1,0.10,0.20,2473,0.165277,0.167812,0.002535
brasileirao,cartoes,FT,2,0.20,0.30,7784,0.249169,0.250385,0.001216
brasileirao,cartoes,FT,3,0.30,0.40,4703,0.336895,0.340634,0.003738
brasileirao,cartoes,FT,4,0.40,0.50,6637,0.446728,0.444327,-0.002401
brasileirao,cartoes,FT,5,0.50,0.60,6559,0.554707,0.556182,0.001475
brasileirao,cartoes,FT,6,0.60,0.70,4747,0.662860,0.658942,-0.003918
brasileirao,cartoes,FT,7,0.70,0.80,7723,0.750939,0.750356,-0.000583
brasileirao,cartoes,FT,8,0.80,0.90,2434,0.832940,0.829910,-0.003030
brasileirao,cartoes,FT,9,0.90,1.00,6324,0.942393,0.939753,-0.002639
brasileirao,cartoes,HT,0,0.00,0.10,45,0.039516,0.133333,0.093818
brasileirao,cartoes,HT,1,0.10,0.20,3447,0.167838,0.170293,0.002455
brasileirao,cartoes,HT,2,0.20,0.30,4440,0.268423,0.270495,0.002073
brasileirao,cartoes,HT,3,0.30,0.40,4608,0.356721,0.358073,0.001352
brasileirao,cartoes,HT,4,0.40,0.50,2299,0.425394,0.424532,-0.000862
brasileirao,cartoes,HT,5,0.50,0.60,2625,0.575128,0.579429,0.004300
brasileirao,cartoes,HT,6,0.60,0.70,4153,0.648035,0.643390,-0.004645
brasileirao,cartoes,HT,7,0.70,0.80,4593,0.730996,0.727411,-0.003585
brasileirao,cartoes,HT,8,0.80,0.90,3424,0.832278,0.831192,-0.001086
brasileirao,cartoes,HT,9,0.90,1.00,46,0.960099,0.869565,-0.090534
brasileirao,cartoes_1x2,FT,0,0.00,0.10,13,0.020257,0.384615,0.364358
brasileirao,cartoes_1x2,FT,1,0.10,0.20,524,0.179263,0.177481,-0.001782
brasileirao,cartoes_1x2,FT,2,0.20,0.30,1680,0.218884,0.214881,-0.004003
brasileirao,cartoes_1x2,FT,3,0.30,0.40,1415,0.356824,0.358304,0.001480
brasileirao,cartoes_1x2,FT,4,0.40,0.50,1580,0.446811,0.446203,-0.000608
brasileirao,cartoes_1x2,FT,5,0.50,0.60,346,0.519456,0.520231,0.000775
brasileirao,cartoes_1x2,FT,6,0.60,0.70,3,0.600000,0.333333,-0.266667
brasileirao,cartoes_1x2,FT,7,0.70,0.80,1,0.787542,1.000000,0.212458
brasileirao,cartoes_1x2,FT,9,0.90,1.00,3,0.998275,0.666667,-0.331608
brasileirao,chutes,FT,0,0.00,0.10,3254,0.056889,0.063614,0.006725
brasileirao,chutes,FT,1,0.10,0.20,5548,0.144728,0.150144,0.005416
brasileirao,chutes,FT,2,0.20,0.30,9460,0.253962,0.257188,0.003226
brasileirao,chutes,FT,3,0.30,0.40,12834,0.350845,0.351177,0.000332
brasileirao,chutes,FT,4,0.40,0.50,11569,0.455307,0.456738,0.001431
brasileirao,chutes,FT,5,0.50,0.60,10917,0.542362,0.538976,-0.003386
brasileirao,chutes,FT,6,0.60,0.70,13506,0.646764,0.647342,0.000578
brasileirao,chutes,FT,7,0.70,0.80,9442,0.746093,0.742851,-0.003242
brasileirao,chutes,FT,8,0.80,0.90,5598,0.854725,0.849946,-0.004779
brasileirao,chutes,FT,9,0.90,1.00,3202,0.943056,0.937539,-0.005516
brasileirao,chutes,HT,0,0.00,0.10,1009,0.085633,0.093162,0.007529
brasileirao,chutes,HT,1,0.10,0.20,3803,0.150777,0.158296,0.007519
brasileirao,chutes,HT,2,0.20,0.30,5996,0.252999,0.253169,0.000169
brasileirao,chutes,HT,3,0.30,0.40,5854,0.347202,0.358387,0.011186
brasileirao,chutes,HT,4,0.40,0.50,7453,0.446197,0.442775,-0.003422
brasileirao,chutes,HT,5,0.50,0.60,7668,0.554930,0.555947,0.001017
brasileirao,chutes,HT,6,0.60,0.70,5637,0.654593,0.646975,-0.007618
brasileirao,chutes,HT,7,0.70,0.80,5965,0.746594,0.746689,0.000095
brasileirao,chutes,HT,8,0.80,0.90,3836,0.849019,0.840459,-0.008560
brasileirao,chutes,HT,9,0.90,1.00,1009,0.914367,0.906838,-0.007529
brasileirao,chutes_1x2,FT,0,0.00,0.10,1226,0.038126,0.039967,0.001842
brasileirao,chutes_1x2,FT,1,0.10,0.20,660,0.156483,0.071212,-0.085271
brasileirao,chutes_1x2,FT,2,0.20,0.30,844,0.252277,0.207346,-0.044931
brasileirao,chutes_1x2,FT,3,0.30,0.40,850,0.345628,0.343529,-0.002098
brasileirao,chutes_1x2,FT,4,0.40,0.50,153,0.442471,0.516340,0.073869
brasileirao,chutes_1x2,FT,5,0.50,0.60,273,0.561883,0.556777,-0.005107
brasileirao,chutes_1x2,FT,6,0.60,0.70,1038,0.650617,0.641618,-0.008999
brasileirao,chutes_1x2,FT,7,0.70,0.80,312,0.747935,0.708333,-0.039602
brasileirao,chutes_1x2,FT,8,0.80,0.90,165,0.822711,0.800000,-0.022711
brasileirao,chutes_1x2,FT,9,0.90,1.00,44,0.957692,0.954545,-0.003147
brasileirao,chutes_1x2,HT,0,0.00,0.10,1844,0.073546,0.080260,0.006715
brasileirao,chutes_1x2,HT,1,0.10,0.20,263,0.148263,0.136882,-0.011380
brasileirao,chutes_1x2,HT,2,0.20,0.30,538,0.255576,0.245353,-0.010222
brasileirao,chutes_1x2,HT,3,0.30,0.40,868,0.329418,0.322581,-0.006838
brasileirao,chutes_1x2,HT,4,0.40,0.50,414,0.467542,0.463768,-0.003774
brasileirao,chutes_1x2,HT,5,0.50,0.60,512,0.573431,0.599609,0.026178
brasileirao,chutes_1x2,HT,6,0.60,0.70,767,0.646500,0.633638,-0.012862
brasileirao,chutes_1x2,HT,7,0.70,0.80,262,0.746534,0.744275,-0.002260
brasileirao,chutes_1x2,HT,8,0.80,0.90,74,0.826306,0.783784,-0.042522
brasileirao,chutes_1x2,HT,9,0.90,1.00,23,0.978443,0.913043,-0.065399
brasileirao,chutes_alvo,FT,0,0.00,0.10,549,0.083337,0.094718,0.011380
brasileirao,chutes_alvo,FT,1,0.10,0.20,6128,0.169433,0.168570,-0.000862
brasileirao,chutes_alvo,FT,2,0.20,0.30,12007,0.250521,0.250271,-0.000251
brasileirao,chutes_alvo,FT,3,0.30,0.40,4593,0.359589,0.371217,0.011628
brasileirao,chutes_alvo,FT,4,0.40,0.50,8258,0.435939,0.430371,-0.005569
brasileirao,chutes_alvo,FT,5,0.50,0.60,8262,0.564178,0.569717,0.005539
brasileirao,chutes_alvo,FT,6,0.60,0.70,4589,0.640535,0.628677,-0.011857
brasileirao,chutes_alvo,FT,7,0.70,0.80,12007,0.749238,0.749729,0.000491
brasileirao,chutes_alvo,FT,8,0.80,0.90,6100,0.831293,0.832131,0.000838
brasileirao,chutes_alvo,FT,9,0.90,1.00,577,0.919832,0.894281,-0.025551
brasileirao,chutes_alvo,HT,0,0.00,0.10,116,0.075942,0.120690,0.044748
brasileirao,chutes_alvo,HT,1,0.10,0.20,8045,0.151089,0.158235,0.007146
brasileirao,chutes_alvo,HT,2,0.20,0.30,3608,0.240309,0.245011,0.004702
brasileirao,chutes_alvo,HT,3,0.30,0.40,4960,0.350940,0.347782,-0.003157
brasileirao,chutes_alvo,HT,4,0.40,0.50,5531,0.424467,0.426324,0.001858
brasileirao,chutes_alvo,HT,5,0.50,0.60,5565,0.573695,0.573405,-0.000290
brasileirao,chutes_alvo,HT,6,0.60,0.70,4921,0.648357,0.652713,0.004356
brasileirao,chutes_alvo,HT,7,0.70,0.80,3618,0.760879,0.755390,-0.005489
