rank,market_key
1,escanteios_home_ft_under_3_5
2,escanteios_home_ht_under_1_5
3,escanteios_away_ht_under_1_5
4,escanteios_total_ft_under_9_5
5,escanteios_away_ft_under_3_5
6,gols_total_ft_under_2_5
7,gols_total_ft_under_0_5
8,gols_total_ft_under_3_5
9,gols_total_ft_under_4_5
10,btts_total_ft_nao
11,gols_total_ft_under_1_5
12,1x2_total_ft_home
13,1x2_total_ht_home
14,btts_total_ht_nao
15,faltas_total_ft_over_23_5
16,faltas_total_ft_over_25_5
17,faltas_total_ft_over_21_5
18,1x2_home
19,1x2_draw
20,1x2_away
21,cartoes_total_ft_under_4_5
22,cartoes_home_ft_under_1_5
23,cartoes_total_ft_under_3_5
24,chutes_away_ft_under_9_5
25,chutes_total_ft_under_19_5
26,chutes_away_ft_under_11_5
27,gols_home_ft_under_2_5
