family,period,direction,predictions,green,red,hit_rate,brier
1x2,FT,away,12296,3650,8646,0.2968445022771633,0.199922085015024
1x2,FT,draw,12296,3202,9094,0.26040988939492515,0.19349083801987593
1x2,FT,home,12296,5444,6852,0.4427456083279115,0.24179936137600663
1x2,HT,away,12296,2985,9311,0.2427618737800911,0.18134201269347155
1x2,HT,draw,12296,5147,7149,0.4185914118412492,0.24451012073285794
1x2,HT,home,12296,4164,8132,0.33864671437865973,0.2188867410604821
btts,FT,nao,12296,5783,6513,0.4703155497722837,0.2602326800123315
btts,FT,sim,12296,6513,5783,0.5296844502277164,0.2602326800123315
btts,HT,nao,12296,9881,2415,0.8035946649316851,0.16033158910824957
btts,HT,sim,12296,2415,9881,0.1964053350683149,0.16033158910824957
cartoes,FT,over,184440,98053,86387,0.5316254608544784,0.17463963265003452
cartoes,FT,under,184440,86387,98053,0.4683745391455216,0.17463963265003452
cartoes,HT,over,98368,37960,60408,0.3858978529603123,0.19275444978301357
cartoes,HT,under,98368,60408,37960,0.6141021470396877,0.19275444978301357
cartoes_1x2,FT,away,12296,5564,6732,0.4525048796356539,0.24960779332309058
cartoes_1x2,FT,draw,12296,2603,9693,0.21169486011711125,0.16673431240056016
cartoes_1x2,FT,home,12296,4129,8167,0.33580026024723486,0.22394898010716144
chutes,FT,over,282808,140214,142594,0.4957921982405024,0.20366699048128487
chutes,FT,under,282808,142594,140214,0.5042078017594976,0.20366699048128487
chutes,HT,over,159848,92933,66915,0.5813835643861669,0.2165474038312614
chutes,HT,under,159848,66915,92933,0.41861643561383316,0.2165474038312614
chutes_1x2,FT,away,12296,4200,8096,0.3415744957709824,0.20285266619491746
chutes_1x2,FT,draw,12296,561,11735,0.04562459336369551,0.0438678483645589
chutes_1x2,FT,home,12296,7535,4761,0.6128009108653221,0.21181642092858796
chutes_1x2,HT,away,12296,4212,8084,0.3425504229017567,0.20588874008494823
chutes_1x2,HT,draw,12296,1001,11295,0.08140858815875081,0.07513244778552426
chutes_1x2,HT,home,12296,7083,5213,0.5760409889394925,0.2215829721993844
chutes_alvo,FT,over,209032,89690,119342,0.4290730605840254,0.19797058877890114
chutes_alvo,FT,under,209032,119342,89690,0.5709269394159746,0.19797058877890114
chutes_alvo,HT,over,147552,68384,79168,0.46345695076989807,0.19303627731532474
chutes_alvo,HT,under,147552,79168,68384,0.5365430492301019,0.19303627731532474
chutes_alvo_1x2,FT,away,12296,4159,8137,0.33824007807417045,0.23236801258160789
chutes_alvo_1x2,FT,draw,12296,1399,10897,0.1137768379960963,0.10138392419082527
chutes_alvo_1x2,FT,home,12296,6738,5558,0.5479830839297333,0.26143553051575663
chutes_alvo_1x2,HT,away,12296,4051,8245,0.32945673389720237,0.22419699496910056
chutes_alvo_1x2,HT,draw,12296,2291,10005,0.18632075471698112,0.1530741894180655
chutes_alvo_1x2,HT,home,12296,5954,6342,0.4842225113858165,0.2591797223814416
dupla,FT,12,12296,9094,3202,0.7395901106050748,0.19349083802034095
dupla,FT,1x,12296,8646,3650,0.7031554977228367,0.19992208501096279
dupla,FT,x2,12296,6852,5444,0.5572543916720885,0.24179936137963515
dupla,HT,12,12296,7149,5147,0.5814085881587508,0.24451012072962822
dupla,HT,1x,12296,9311,2985,0.7572381262199089,0.18134201268836322
dupla,HT,x2,12296,8132,4164,0.6613532856213403,0.21888674106886535
escanteios,FT,over,245920,103369,142551,0.4203358815875081,0.1961472731035978
escanteios,FT,under,245920,142551,103369,0.5796641184124919,0.1961472731035978
escanteios,HT,over,184440,84830,99610,0.45993276946432443,0.1843848523153258
escanteios,HT,under,184440,99610,84830,0.5400672305356755,0.1843848523153258
escanteios_1x2,FT,away,12296,4368,7928,0.35523747560182173,0.21953066533048096
escanteios_1x2,FT,draw,12296,1142,11154,0.09287573194534808,0.08467182571917649
escanteios_1x2,FT,home,12296,6786,5510,0.5518867924528302,0.2358249660826629
escanteios_1x2,HT,away,12296,4242,8054,0.3449902407286923,0.21756477284366132
escanteios_1x2,HT,draw,12296,1828,10468,0.1486662329212752,0.1288750443305244
