group,n,wins,hit_rate,avg_odd,avg_fair_prob,avg_ev,avg_edge,roi,profit,breakeven
btts,1169,542,0.4636441402908469,2.534803108069575,0.5520374613143684,0.3804619398217816,0.14666412106821136,0.1549627887082977,181.1515,0.39450795875091377
faltas,156,84,0.5384615384615384,1.8255769230769232,0.6455608142691489,0.1742644245308237,0.09539506070123165,-0.018076923076923074,-2.8199999999999994,0.5477720425576741
chutes_alvo,1342,694,0.5171385991058122,1.9741952309985096,0.6058872395649177,0.1520973392865146,0.07558406027603626,-0.022704918032786885,-30.470000000000002,0.506535515990594
1x2,889,368,0.41394825646794153,2.62644544431946,0.563959924951033,0.3358528052803745,0.1320515755156912,-0.03700787401574804,-32.900000000000006,0.3807427267003868
dupla_chance,1324,892,0.6737160120845922,1.4770392749244712,0.7845814642144832,0.12767858016550213,0.08223536830235878,-0.038383685800604216,-50.81999999999998,0.677030067498466
chutes,1764,923,0.5232426303854876,1.865124716553288,0.6690549267440093,0.23299639816288567,0.12402959546207246,-0.038662131519274376,-68.2,0.5361571755094101
cartoes,2525,1344,0.5322772277227723,1.993128712871287,0.6415738581759296,0.17335047992057037,0.0872818983128151,-0.04696237623762378,-118.58000000000004,0.5017237439519936
escanteios,6400,3467,0.54171875,2.023725,0.6634298417154646,0.1884444768659933,0.0926903738388155,-0.06547656249999999,-419.04999999999995,0.494138284598945
impedimentos,403,194,0.4813895781637717,1.8501985111662531,0.6581659785081573,0.1964027232181454,0.10521821437426991,-0.14555831265508687,-58.66000000000001,0.5404825449619785
gols,4344,1936,0.44567219152854515,2.428218232044199,0.5816743245802339,0.19520701749374053,0.07979668278734502,-0.14688766114180477,-638.0799999999999,0.41182459912515706
escanteios_handicap,8,2,0.25,1.91625,0.7836492804537241,0.5065540998293538,0.2573811891257066,-0.58875,-4.71,0.5218525766470972
