liga,n,wins,hit_rate,avg_odd,avg_fair_prob,avg_ev,avg_edge,roi,profit,breakeven
serie-b-italia,1102,603,0.5471869328493648,2.1208204779189352,0.6373205556376282,0.20897740175856838,0.09648036550344795,0.010322746521476099,11.37566666666666,0.47151562822575843
la-liga-2,1584,853,0.538510101010101,2.1119574915824915,0.635000628474774,0.2037746657260147,0.09493603102236936,-0.011240319865319879,-17.804666666666687,0.4734943785495887
la-liga,2125,1163,0.5472941176470588,2.0410480784313725,0.6467258185366658,0.19588813614638625,0.09497097030236568,-0.014548470588235295,-30.9155,0.4899443626867135
serie-a,1560,814,0.5217948717948718,2.1046884615384616,0.6224850626433732,0.19046123009738944,0.08968992071351906,-0.02133269230769231,-33.279,0.4751297012713374
brasileirao,2460,1332,0.5414634146341464,2.154961517615176,0.6360687805496135,0.19886794570146218,0.08932388976550006,-0.02344945799457994,-57.68566666666665,0.4640454095471118
superliga-argentina,1541,825,0.5353666450356911,1.9975102747133897,0.6522205872786879,0.2117298077769414,0.10360545128889331,-0.03185431537962363,-49.08750000000001,0.5006232071289264
premier-league,1905,977,0.5128608923884515,2.128710673665792,0.6318569803319662,0.19263608299992022,0.09120366697547974,-0.05057349081364829,-96.3425,0.4697679268352277
championship,2025,1001,0.494320987654321,2.105002880658436,0.6304446486858896,0.19505134108230893,0.09186020706576634,-0.09239728395061726,-187.10449999999994,0.47505873231261525
liga-mx,1164,571,0.49054982817869414,2.1116864261168384,0.6445255246220991,0.23104529975059102,0.10920546482565449,-0.10328350515463917,-120.222,0.4735551583948433
primeira-liga,1188,583,0.49074074074074076,2.1118152356902358,0.6538714392198354,0.25323628262885106,0.11820047030722018,-0.10577623456790124,-125.66216666666666,0.47352627403180714
ligue-1,1381,657,0.47574221578566256,2.098938571083756,0.6257824831173978,0.1812338438081017,0.08653221099442887,-0.12037859039343472,-166.24283333333335,0.47643128473439067
bundesliga,1624,766,0.47167487684729065,2.0828033661740557,0.6293171985455017,0.18343486363682063,0.08859430601518781,-0.14279166666666668,-231.8936666666667,0.4801221355028442
brasileirao-b,665,301,0.45263157894736844,2.290825814536341,0.6418154731303839,0.2522747316369206,0.10381006296562406,-0.2079310776942356,-138.27416666666667,0.436523804496414
