market_key,family,direction,mercado,selecao,linha,n,wins,hit_rate,avg_odd,avg_fair_prob,avg_ev,avg_edge,roi,profit,breakeven
btts_total_ft_sim,btts,sim,1° Tempo - Ambas as Equipes Marcam,Sim,,283,154,0.5441696113074205,2.2301595995288577,0.5424813453860649,0.200461247786197,0.08960439256687479,0.21741696113074205,61.529,0.44839840171585005
1x2_total_ft_draw,1x2,draw,Resultado Final,X,,96,31,0.3229166666666667,3.7698958333333334,0.32003454046447016,0.180130603728231,0.04796684551113894,0.21562499999999998,20.7,0.2652593186151253
cartoes_total_ht_under_0_5,cartoes,under,1º Tempo - Total de Cartões,Menos de 0.5,0.5,111,36,0.32432432432432434,3.7005405405405405,0.32910230580677613,0.20051712599944638,0.053701675217506024,0.1690990990990991,18.77,0.27023079170318437
btts_total_ft_nao,btts,nao,Argentinos Juniors Vence ou Ambas as Equipes Marcam,Não,,884,387,0.43778280542986425,2.6213797134238312,0.5559659452299175,0.43843308889094673,0.1651920663251906,0.12994626696832579,114.8725,0.3814784996157165
chutes_total_ft_over_26_5,chutes,over,Total de Finalizações,Mais de 26.5,26.5,112,62,0.5535714285714286,1.9996428571428573,0.6435151764360622,0.2751983406990532,0.136066869776706,0.09812500000000002,10.990000000000002,0.5000893016610108
chutes_alvo_total_ft_under_8_5,chutes_alvo,under,Total de Chutes no Gol,Menos de 8.5,8.5,165,85,0.5151515151515151,2.0721818181818183,0.5530225931710037,0.1325671714224768,0.06259116969893784,0.05,8.25,0.48258313591295954
chutes_total_ft_over_25_5,chutes,over,Total de Finalizações,Mais de 25.5,25.5,137,77,0.5620437956204379,1.8704379562043796,0.6745895549192391,0.24814291310887726,0.13103141229726847,0.04518248175182481,6.189999999999999,0.5346341463414634
escanteios_total_ft_over_9_5,escanteios,over,Total de Escanteios,Mais de 9.5,9.5,308,175,0.5681818181818182,1.8395129870129872,0.653375952312019,0.19172467148355848,0.1034090460648603,0.028506493506493497,8.779999999999998,0.5436221473074818
escanteios_total_ft_under_11_5,escanteios,under,Total de Escanteios,Menos de 11.5,11.5,402,298,0.7412935323383084,1.375223880597015,0.8194247748881418,0.12306027317948197,0.08921906471685735,0.010796019900497514,4.340000000000001,0.7271543303668331
chutes_alvo_total_ft_under_9_5,chutes_alvo,under,Total de Chutes no Gol,Menos de 9.5,9.5,134,77,0.5746268656716418,1.8297761194029851,0.6350372125485133,0.15194995237968148,0.07825466070377944,0.000895522388059699,0.11999999999999966,0.5465149475916636
escanteios_total_ft_under_10_5,escanteios,under,Total de Escanteios,Menos de 10.5,10.5,372,239,0.6424731182795699,1.5721774193548388,0.7401016286274149,0.15686705401100687,0.09973750584048043,-0.0018548387096774198,-0.6900000000000002,0.6360605283406001
gols_total_ft_under_3_5,gols,under,Total de Gols,Menos de 3.5,3.5,310,216,0.6967741935483871,1.4441935483870967,0.784727710321777,0.11949366184590952,0.08155253766763015,-0.007419354838709677,-2.3,0.692427965155238
chutes_total_ft_under_23_5,chutes,under,Total de Finalizações,Menos de 23.5,23.5,109,53,0.48623853211009177,2.0673394495412842,0.6340345017835768,0.29719393150775814,0.14377638460464953,-0.01055045871559635,-1.1500000000000021,0.48371349960060356
cartoes_total_ht_under_2_5,cartoes,under,1º Tempo - Total de Cartões,Menos de 2.5,2.5,140,104,0.7428571428571429,1.3535714285714286,0.8471580991439034,0.14201880121440386,0.09846173081119666,-0.01400000000000002,-1.9600000000000026,0.7387862796833773
cartoes_total_ht_under_1_5,cartoes,under,1º Tempo - Total de Cartões,Menos de 1.5,1.5,588,320,0.54421768707483,1.860561224489796,0.6326551719472123,0.16457775927994028,0.08592479347653802,-0.01488095238095238,-8.75,0.5374722351715249
dupla_total_ft_1x,dupla_chance,other,Dupla Chance,1 ou Empate,,532,356,0.6691729323308271,1.517763157894737,0.7930941054478402,0.1695802017994989,0.10695889025491212,-0.017951127819548864,-9.549999999999995,0.6588643259644559
escanteios_total_ft_over_8_5,escanteios,over,Total de Escanteios,Mais de 8.5,8.5,348,224,0.6436781609195402,1.5362356321839081,0.751108794556696,0.14811049847409566,0.09543827028769679,-0.022586206896551737,-7.860000000000005,0.6509418080469875
escanteios_total_ft_over_7_5,escanteios,over,Total de Escanteios,Mais de 7.5,7.5,367,271,0.7384196185286104,1.3290735694822888,0.8361874910327547,0.10839656081956228,0.08075474139021478,-0.0251226158038147,-9.219999999999995,0.7524037968714763
dupla_total_ht_1x,dupla_chance,other,1º Tempo - Dupla Chance,1X,,334,240,0.718562874251497,1.3761676646706587,0.8092079193091413,0.10020452897024532,0.0708810933460281,-0.02646706586826349,-8.840000000000005,0.7266556435471239
cartoes_total_ft_under_5_5,cartoes,under,Total de Cartões,Menos de 5.5,5.5,392,238,0.6071428571428571,1.6526530612244898,0.7221341967466605,0.17172810298715982,0.0987699860308277,-0.02867346938775509,-11.239999999999995,0.6050876759693752
chutes_alvo_total_ht_under_4_5,chutes_alvo,under,1º Tempo - Total de Chutes no Gol,Menos de 4.5,4.5,154,89,0.577922077922078,1.700194805194805,0.7172876674693599,0.21891172230818087,0.12619796241038064,-0.029805194805194803,-4.59,0.5881678951991751
cartoes_total_ft_under_4_5,cartoes,under,Total de Cartões,Menos de 4.5,4.5,356,176,0.4943820224719101,2.0676966292134833,0.599903215159366,0.20090710962474218,0.09348092056025861,-0.03671348314606743,-13.070000000000004,0.4836299415840239
escanteios_total_ft_under_9_5,escanteios,under,Total de Escanteios,Menos de 9.5,9.5,320,167,0.521875,1.8657187499999999,0.6471746698107419,0.1975687982383927,0.10577730112037247,-0.04334375000000001,-13.870000000000003,0.5359864663417249
chutes_total_ft_over_23_5,chutes,over,Total de Finalizações,Mais de 23.5,23.5,92,53,0.5760869565217391,1.6948913043478262,0.7223437181656066,0.2124783593970885,0.12491690252301321,-0.04467391304347825,-4.109999999999999,0.5900083370743282
escanteios_total_ft_under_12_5,escanteios,under,Total de Escanteios,Menos de 12.5,12.5,310,234,0.7548387096774194,1.2646129032258064,0.8725525818172037,0.1020723826370331,0.08057147210301399,-0.04729032258064515,-14.659999999999998,0.7907558095043746
chutes_alvo_total_ht_under_3_5,chutes_alvo,under,1º Tempo - Total de Chutes no Gol,Menos de 3.5,3.5,406,195,0.4802955665024631,1.9939408866995072,0.5743797652736043,0.141417928094974,0.0701223989877756,-0.048620689655172425,-19.740000000000006,0.5015193813770784
escanteios_total_ht_under_6_5,escanteios,under,1º Tempo - Total de Escanteios,Menos de 6.5,6.5,428,329,0.7686915887850467,1.2362616822429906,0.8864666617311734,0.09531629452531554,0.07691779276242526,-0.051892523364486,-22.210000000000008,0.8088902328394315
chutes_alvo_total_ft_over_7_5,chutes_alvo,over,Total de Chutes no Gol,Mais de 7.5,7.5,105,58,0.5523809523809524,1.709047619047619,0.6473278656840805,0.10169266366008343,0.058014274253715935,-0.05247619047619048,-5.510000000000001,0.5851212036779048
cartoes_total_ft_under_3_5,cartoes,under,Total de Cartões,Menos de 3.5,3.5,184,72,0.391304347826087,2.6442391304347828,0.48125845548445195,0.21654015349084985,0.08022882569973352,-0.052717391304347834,-9.700000000000001,0.37818062235376326
dupla_total_ft_12,dupla_chance,other,Dupla Chance,1 ou 2,,269,193,0.7174721189591078,1.319182156133829,0.8197887406732711,0.07937201750962417,0.06013440298276545,-0.05810408921933086,-15.63,0.7580454263653271
cartoes_total_ft_under_6_5,cartoes,under,Total de Cartões,Menos de 6.5,6.5,252,166,0.6587301587301587,1.4559126984126984,0.8042895577977681,0.16451612854165928,0.10571395286745033,-0.058888888888888886,-14.84,0.6868543705197743
gols_total_2t_over_0_5,gols,over,2º Tempo - Total de Gols,Mais de 0.5,0.5,222,163,0.7342342342342343,1.2820720720720722,0.8363365715735783,0.07051762672343795,0.054740191064955285,-0.06085585585585587,-13.510000000000003,0.7799873515564612
chutes_total_ft_under_24_5,chutes,under,Total de Finalizações,Menos de 24.5,24.5,157,75,0.47770700636942676,1.9646496815286623,0.6509472531075668,0.2616401719791082,0.13456693531751265,-0.06649681528662418,-10.439999999999998,0.508996595882639
chutes_total_ft_over_24_5,chutes,over,Total de Finalizações,Mais de 24.5,24.5,125,68,0.544,1.77576,0.7000472956679114,0.2332608236306518,0.12938375448010891,-0.06704,-8.38,0.5631391629499481
