market_key,family,direction,segment_type,segment,n,wins,hit_rate,avg_odd,avg_fair_prob,avg_ev,avg_edge,profit,roi,roi_ci_low,roi_ci_high,roi_t,breakeven
chutes_alvo_total_ft_over_6_5,chutes_alvo,over,liga,premier-league,15,12,0.8,1.3533333333333333,0.7941548576056846,0.07475772282095242,0.05457391521953249,1.2600000000000007,0.08400000000000005,-0.19105131590709065,0.3590513159070907,0.5985792122354858,0.7389162561576355
chutes_alvo_total_ft_over_7_5,chutes_alvo,over,liga,brasileirao,24,15,0.625,1.6537499999999998,0.6532454521659493,0.08030399737569394,0.04776504888857069,0.8600000000000003,0.03583333333333335,-0.28593523335592436,0.357601900022591,0.21827282278060417,0.6046863189720333
chutes_alvo_total_ft_over_7_5,chutes_alvo,over,liga,ligue-1,15,8,0.5333333333333333,1.7113333333333334,0.6630398604457959,0.13465927399592117,0.07615137578707695,-1.35,-0.09000000000000001,-0.5236558750386711,0.34365587503867107,-0.4067741500890991,0.584339696143358
chutes_alvo_total_ft_over_7_5,chutes_alvo,over,liga,premier-league,27,14,0.5185185185185185,1.6288888888888888,0.6772098879868034,0.10310857123721434,0.061753936220937604,-3.83,-0.14185185185185187,-0.4547419885819155,0.17103828487821174,-0.8885854713582462,0.6139154160982265
chutes_alvo_total_ft_over_8_5,chutes_alvo,over,liga,brasileirao,24,12,0.5,2.1416666666666666,0.5189078563899366,0.11132627002780036,0.05105795360561374,1.9499999999999993,0.08124999999999998,-0.35262266137050197,0.5151226613705019,0.3670431769011824,0.4669260700389105
chutes_alvo_total_ft_over_8_5,chutes_alvo,over,liga,premier-league,29,13,0.4482758620689655,2.09,0.5455388463578541,0.14020104347312543,0.0652721726057758,-1.7600000000000002,-0.0606896551724138,-0.4409183037811771,0.31953899343634945,-0.3128426134463281,0.47846889952153115
chutes_alvo_total_ft_over_8_5,chutes_alvo,over,liga,ligue-1,16,6,0.375,2.21625,0.529796431014984,0.17411202625155098,0.07571333084255132,-2.4600000000000004,-0.15375000000000003,-0.6931476303189976,0.3856476303189975,-0.5586787613838474,0.4512126339537507
chutes_alvo_total_ft_over_9_5,chutes_alvo,over,liga,premier-league,15,3,0.2,2.6446666666666667,0.41380397298100713,0.09438894867544541,0.03531286594626886,-6.93,-0.46199999999999997,-1.0066659403667129,0.08266594036671282,-1.6625236367640892,0.3781194857574994
chutes_alvo_total_ft_under_10_5,chutes_alvo,under,liga,la-liga,20,13,0.65,1.5765,0.7813183044249514,0.2317328153407086,0.13621854051987997,-0.1399999999999999,-0.006999999999999995,-0.3333976765848679,0.3193976765848679,-0.042034612940734586,0.6343165239454488
chutes_alvo_total_ft_under_10_5,chutes_alvo,under,liga,bundesliga,24,6,0.25,1.77625,0.6609713425119815,0.17399924584778845,0.08877955462262771,-13.18,-0.5491666666666667,-0.8655444646626936,-0.23278886867063975,-3.402156135748134,0.5629838142153413
chutes_alvo_total_ft_under_8_5,chutes_alvo,under,liga,serie-a,17,11,0.6470588235294118,2.07,0.5500462444581495,0.13859831773806794,0.06517062973654356,5.6,0.32941176470588235,-0.13960003114238823,0.798423560554153,1.376611557617203,0.48309178743961356
chutes_alvo_total_ft_under_8_5,chutes_alvo,under,liga,superliga-argentina,24,17,0.7083333333333334,1.7958333333333334,0.6534717050456381,0.173512819937321,0.09384104007798666,6.54,0.2725,-0.05707180068318274,0.6020718006831828,1.6205876804169606,0.5568445475638051
chutes_alvo_total_ft_under_8_5,chutes_alvo,under,liga,la-liga,28,15,0.5357142857142857,2.1864285714285714,0.545907691590933,0.19358385664168326,0.08335024651197047,5.09,0.18178571428571427,-0.2316175422326639,0.5951889708040925,0.8618703272942417,0.4573668735707285
chutes_alvo_total_ft_under_8_5,chutes_alvo,under,liga,primeira-liga,16,9,0.5625,2.05125,0.5520359303381367,0.1328670552055037,0.0584770161500447,1.7199999999999995,0.10749999999999997,-0.37408705923747576,0.5890870592374757,0.43751175609579973,0.4875076173065204
chutes_alvo_total_ft_under_8_5,chutes_alvo,under,liga,championship,40,16,0.4,1.88675,0.5853958904221397,0.10426481835778059,0.054143081565354564,-10.32,-0.258,-0.5399397152584219,0.023939715258421868,-1.7935749120570015,0.5300119252683185
chutes_alvo_total_ft_under_9_5,chutes_alvo,under,liga,serie-a,16,12,0.75,1.6375,0.6781314343903521,0.11044197566134338,0.06584515490020201,3.5700000000000003,0.22312500000000002,-0.12446308365425518,0.5707130836542552,1.2581702899659986,0.6106870229007634
chutes_alvo_total_ft_under_9_5,chutes_alvo,under,liga,la-liga,29,19,0.6551724137931034,1.803793103448276,0.6742550033179725,0.21620912428357555,0.1085325057932462,3.35,0.11551724137931035,-0.18381349460669694,0.41484797736531764,0.7564000815273189,0.5543873064423628
chutes_alvo_total_ft_under_9_5,chutes_alvo,under,liga,bundesliga,23,4,0.17391304347826086,2.1795652173913043,0.538643283994285,0.1739870390357512,0.0734413020482699,-14.280000000000001,-0.6208695652173913,-0.9586399871031441,-0.28309914333163855,-3.602755803874656,0.4588071015360064
chutes_alvo_total_ht_under_3_5,chutes_alvo,under,liga,primeira-liga,36,22,0.6111111111111112,1.9769444444444444,0.5753080241101421,0.13740156658824962,0.06826546579033149,7.109999999999999,0.19749999999999998,-0.11570879099932566,0.5107087909993256,1.2359167785965286,0.5058311086131797
chutes_alvo_total_ht_under_3_5,chutes_alvo,under,liga,serie-a,50,28,0.56,1.979,0.5751465793152756,0.13822811298554213,0.06815580173236585,5.03,0.10060000000000001,-0.17112042629968027,0.3723204262996803,0.7256576278977817,0.5053057099545225
chutes_alvo_total_ht_under_3_5,chutes_alvo,under,liga,la-liga,47,24,0.5106382978723404,2.02,0.5728676073587274,0.1571860205620146,0.07634966564477934,1.8099999999999996,0.03851063829787233,-0.253175983178632,0.33019725977437664,0.25877378496740494,0.49504950495049505
