market_key,family,direction,segment_type,segment,n,wins,hit_rate,avg_odd,avg_fair_prob,avg_ev,avg_edge,profit,roi,roi_ci_low,roi_ci_high,roi_t,breakeven
btts_total_ft_nao,btts,nao,temporada,2026,233,109,0.4678111587982833,2.469467811158798,0.600782628059324,0.46904582655218796,0.18931880365598303,33.659166666666664,0.1444599427753934,-0.014499769974627458,0.3034196555254143,1.7812153969165618,0.40494554959627105
btts_total_ft_nao,btts,nao,temporada,2025/2026,651,278,0.4270353302611367,2.6757506400409623,0.5399255656611743,0.4274764562103489,0.15655684390111277,81.21333333333334,0.12475166410650282,0.022562216897394058,0.22694111131561157,2.3927447336944843,0.373726903036335
btts_total_ft_sim,btts,sim,temporada,2026,26,17,0.6538461538461539,2.3316089743589745,0.5013208600425885,0.16086490780325644,0.06806407077009459,13.4335,0.516673076923077,0.08408916475628558,0.9492569890898683,2.3410006759076425,0.42888838179863686
btts_total_ft_sim,btts,sim,temporada,2025/2026,257,137,0.5330739299610895,2.2198962386511023,0.5466454411795683,0.20446710319303144,0.09178356909106267,48.0955,0.1871420233463035,0.04984894381665167,0.32443510287595534,2.6716449730413085,0.4504715051941527
escanteios_total_ft_under_10_5,escanteios,under,temporada,2026,58,41,0.7068965517241379,1.5298275862068966,0.741594845379324,0.11746934967690144,0.07656075495737918,3.7,0.06379310344827586,-0.11659803270010043,0.24418423959665214,0.6931298589736508,0.6536684323227769
escanteios_total_ft_under_10_5,escanteios,under,temporada,2025/2026,314,198,0.6305732484076433,1.58,0.7398258115203743,0.1641443369771792,0.10401856173608512,-4.390000000000001,-0.013980891719745224,-0.09794754155100482,0.06998575811151439,-0.32635037631927827,0.6329113924050632
escanteios_total_ft_under_11_5,escanteios,under,temporada,2026,66,54,0.8181818181818182,1.3674242424242424,0.801848098150171,0.08784126288543129,0.06349431864708449,7.049999999999999,0.1068181818181818,-0.021723503431449423,0.23535986706781303,1.6287606308960927,0.7313019390581718
escanteios_total_ft_under_11_5,escanteios,under,temporada,2025/2026,336,244,0.7261904761904762,1.3767559523809523,0.8228773363902433,0.12997829305867048,0.0942721398377056,-2.709999999999998,-0.008065476190476185,-0.07353316163218787,0.05740220925123549,-0.2414677291044308,0.7263451436477226
gols_total_ft_over_1_5,gols,over,temporada,2026,93,64,0.6881720430107527,1.4150537634408602,0.7950157330158348,0.11993751803056785,0.08411430546825448,-2.95,-0.031720430107526884,-0.1655341559388886,0.10209329572383481,-0.4646163360633483,0.7066869300911854
gols_total_ft_over_1_5,gols,over,temporada,2025/2026,143,96,0.6713286713286714,1.3044055944055943,0.83283384129626,0.08343464328720285,0.06382406399695478,-19.06,-0.13328671328671327,-0.23313774989071173,-0.03343567668271481,-2.616316934976084,0.7666327132364767
gols_total_ft_under_3_5,gols,under,temporada,2026,22,18,0.8181818181818182,1.2781818181818183,0.831008618873048,0.0602592656556153,0.046909700063053596,1.01,0.045909090909090906,-0.16138253578472997,0.2532007176029118,0.4340832266935962,0.7823613086770981
gols_total_ft_under_3_5,gols,under,temporada,2025/2026,288,198,0.6875,1.456875,0.7811923631407771,0.12401851155489034,0.08419886554020196,-3.3099999999999996,-0.011493055555555555,-0.09050337434375305,0.06751726323264193,-0.2851069231763923,0.6864006864006864
