idx,market_key,family,scope,period,direction,line,run_0010_market_odd,run_0010_edge_pct,run_0010_certified,audit_status,before_run_odd,before_run_criado_em,latest_odd,latest_criado_em,latest_mercado,latest_selecao,latest_linha,global_matches_with_same_market_key,global_quotes_with_same_market_key,audit_comment
487,gols_total_ft_over_0_5,gols,total,FT,over,0.5,1.02,-5.66,False,RESOLVIDO_NO_RUN_0010,1.02,2026-05-19 16:32:07,1.07,2026-05-19 19:03:21,Total de Gols,Mais de 0.5,0.5,54,148,RUN #0010 recebeu odd no slot.
488,gols_total_ft_under_0_5,gols,total,FT,under,0.5,18,35.16,False,RESOLVIDO_NO_RUN_0010,18.0,2026-05-19 16:32:07,7.5,2026-05-19 19:03:21,Total de Gols,Menos de 0.5,0.5,58,153,RUN #0010 recebeu odd no slot.
489,gols_total_ft_over_1_5,gols,total,FT,over,1.5,1.15,-13.24,False,RESOLVIDO_NO_RUN_0010,1.15,2026-05-19 16:32:07,1.53,2026-05-19 20:03:04,Total de Gols,Mais de 1.5,1.5,921,1079,RUN #0010 recebeu odd no slot.
490,gols_total_ft_under_1_5,gols,total,FT,under,1.5,5.55,36.27,False,RESOLVIDO_NO_RUN_0010,5.55,2026-05-19 16:32:07,2.45,2026-05-19 20:03:04,Total de Gols,Menos de 1.5,1.5,975,1134,RUN #0010 recebeu odd no slot.
491,gols_total_ft_over_2_5,gols,total,FT,over,2.5,1.5,-23.26,False,RESOLVIDO_NO_RUN_0010,1.5,2026-05-19 16:32:07,3.7,2026-05-19 20:03:04,Total de Gols,Mais de 2.5,2.5,1077,1251,RUN #0010 recebeu odd no slot.
492,gols_total_ft_under_2_5,gols,total,FT,under,2.5,2.6,26.99,False,RESOLVIDO_NO_RUN_0010,2.6,2026-05-19 16:32:07,1.25,2026-05-19 20:03:04,Total de Gols,Menos de 2.5,2.5,1077,1251,RUN #0010 recebeu odd no slot.
493,gols_total_ft_over_3_5,gols,total,FT,over,3.5,2.22,-44.79,False,RESOLVIDO_NO_RUN_0010,2.22,2026-05-19 16:32:07,9.25,2026-05-19 20:03:04,Total de Gols,Mais de 3.5,3.5,1006,1175,RUN #0010 recebeu odd no slot.
494,gols_total_ft_under_3_5,gols,total,FT,under,3.5,1.67,25.47,False,RESOLVIDO_NO_RUN_0010,1.67,2026-05-19 16:32:07,1.04,2026-05-19 20:03:04,Total de Gols,Menos de 3.5,3.5,959,1124,RUN #0010 recebeu odd no slot.
495,gols_total_ft_over_4_5,gols,total,FT,over,4.5,3.8,-37.28,False,RESOLVIDO_NO_RUN_0010,3.8,2026-05-19 16:32:07,22.0,2026-05-19 20:03:04,Total de Gols,Mais de 4.5,4.5,323,447,RUN #0010 recebeu odd no slot.
496,gols_total_ft_under_4_5,gols,total,FT,under,4.5,1.27,6.04,True,RESOLVIDO_NO_RUN_0010,1.27,2026-05-19 16:32:07,1.11,2026-05-19 19:33:03,Total de Gols,Menos de 4.5,4.5,246,359,RUN #0010 recebeu odd no slot.
497,gols_total_ft_over_5_5,gols,total,FT,over,5.5,6.9,-47.28,False,RESOLVIDO_NO_RUN_0010,6.9,2026-05-19 16:32:07,40.0,2026-05-19 20:03:04,Total de Gols,Mais de 5.5,5.5,70,175,RUN #0010 recebeu odd no slot.
498,gols_total_ft_under_5_5,gols,total,FT,under,5.5,1.1,1.6,False,RESOLVIDO_NO_RUN_0010,1.1,2026-05-19 16:32:07,1.01,2026-05-19 19:33:03,Total de Gols,Menos de 5.5,5.5,62,155,RUN #0010 recebeu odd no slot.
499,gols_total_ft_over_6_5,gols,total,FT,over,6.5,14,-64.69,False,RESOLVIDO_NO_RUN_0010,14.0,2026-05-19 16:32:07,25.0,2026-05-19 19:33:03,Total de Gols,Mais de 6.5,6.5,56,156,RUN #0010 recebeu odd no slot.
500,gols_total_ft_under_6_5,gols,total,FT,under,6.5,1.03,0.4,False,RESOLVIDO_NO_RUN_0010,1.03,2026-05-19 16:32:07,1.01,2026-05-19 18:33:05,Total de Gols,Menos de 6.5,6.5,52,135,RUN #0010 recebeu odd no slot.
501,gols_total_ft_over_7_5,gols,total,FT,over,7.5,,,False,ODD_ENTROU_APOS_RUN_0010,,,40.0,2026-05-19 19:33:03,Total de Gols,Mais de 7.5,7.5,6,12,Nao havia odd exacta no horario do RUN; a linha apareceu em snapshot posterior.
502,gols_total_ft_under_7_5,gols,total,FT,under,7.5,,,False,SEM_ODD_NO_SNAPSHOT_LOCAL,,,,,,,,0,0,Nao existe nenhuma linha com essa market_key no banco atual; pode ser mercado nao ofertado/capturado ou normalizacao pendente se houver equivalente legacy/composto.
503,gols_home_ft_over_0_5,gols,home,FT,over,0.5,,,False,GAP_EXTRACAO_NORMALIZACAO_TEAM_MARKET,,,,,,,,0,0,Mercado confirmado no bookline como Total de Gols da Equipe; ausencia no snapshot local era bug de normalizacao que descartava scope equipe.
504,gols_home_ft_under_0_5,gols,home,FT,under,0.5,,,False,GAP_EXTRACAO_NORMALIZACAO_TEAM_MARKET,,,,,,,,0,0,Mercado confirmado no bookline como Total de Gols da Equipe; ausencia no snapshot local era bug de normalizacao que descartava scope equipe.
505,gols_home_ft_over_1_5,gols,home,FT,over,1.5,,,False,GAP_EXTRACAO_NORMALIZACAO_TEAM_MARKET,,,,,,,,0,0,Mercado confirmado no bookline como Total de Gols da Equipe; ausencia no snapshot local era bug de normalizacao que descartava scope equipe.
506,gols_home_ft_under_1_5,gols,home,FT,under,1.5,,,False,GAP_EXTRACAO_NORMALIZACAO_TEAM_MARKET,,,,,,,,0,0,Mercado confirmado no bookline como Total de Gols da Equipe; ausencia no snapshot local era bug de normalizacao que descartava scope equipe.
507,gols_home_ft_over_2_5,gols,home,FT,over,2.5,,,False,GAP_EXTRACAO_NORMALIZACAO_TEAM_MARKET,,,,,,,,0,0,Mercado confirmado no bookline como Total de Gols da Equipe; ausencia no snapshot local era bug de normalizacao que descartava scope equipe.
508,gols_home_ft_under_2_5,gols,home,FT,under,2.5,,,False,GAP_EXTRACAO_NORMALIZACAO_TEAM_MARKET,,,,,,,,0,0,Mercado confirmado no bookline como Total de Gols da Equipe; ausencia no snapshot local era bug de normalizacao que descartava scope equipe.
509,gols_home_ft_over_3_5,gols,home,FT,over,3.5,,,False,GAP_EXTRACAO_NORMALIZACAO_TEAM_MARKET,,,,,,,,0,0,Mercado confirmado no bookline como Total de Gols da Equipe; ausencia no snapshot local era bug de normalizacao que descartava scope equipe.
